doco;dcto;pf_list;mcu_list
25173147;CO;PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40
25173177;CO;PF1017;MI02
25173179;CO;PF1019, PF0192;MI22,MI33
25173414;CO;PF1006, PF1007, PF1008;MI02,MI33,MI01
25173416;CO;PF1008, PF1010, PF1011, PF1012;MI01,MI22,MI40,MI10
25173446;CO;PF0687, PF0702, PF0703, PF0704, PF0705;MI01,MI01,MI01,MI01,MI01
25173703;CO;PF0724, PF0728, PF0756, PF0757, PF0765, PF0766;MI01,MI01,MI01,MI01,MI01,MI01
25175662;CO;PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720;MI01,MI01,MI01,MI01,MI01,MI01,MI01
25175664;CO;PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25176001;CO;PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019, PF0192;MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22,MI33
25176664;CO;PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25179254;CO;PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853;MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01
25179255;CO;PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855;MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01
25179783;CO;PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963;MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25179785;CO;PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25179991;CO;PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25180257;CO;PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25180458;CO;PF0702, PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25180459;CO;PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25180699;CO;PF0582, PF0584, PF0624, PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181264;CO;PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10
25181372;CO;PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181474;CO;PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893;MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181639;CO;PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02
25181691;CO;PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181765;CO;PF0982, PF0983, PF0984, PF0985, PF0995, PF0996, PF0997, PF0999, PF1000, PF1002, PF1003, PF1004, PF1005, PF1006, PF1007, PF1008, PF1010, PF1011, PF1012, PF1013, PF1015, PF1016, PF1017, PF1018, PF1019;MI01,MI01,MI01,MI01,MI01,MI02,MI04,MI22,MI40,MI04,MI10,MI22,MI40,MI02,MI33,MI01,MI22,MI40,MI10,MI02,MI04,MI40,MI02,MI10,MI22
25181800;CO;PF0483, PF0488, PF0524, PF0526, PF0530, PF0533, PF0582, PF0584, PF0624, PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765;MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181803;CO;PF0526, PF0530, PF0533, PF0582, PF0584, PF0624, PF0686, PF0687, PF0702, PF0703, PF0704, PF0705, PF0706, PF0707, PF0719, PF0720, PF0721, PF0722, PF0724, PF0728, PF0756, PF0757, PF0765, PF0766, PF0775, PF0776, PF0777;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181828;CO;PF0776, PF0777, PF0778, PF0779, PF0780, PF0781, PF0782, PF0783, PF0784, PF0785, PF0786, PF0793, PF0794, PF0798, PF0811, PF0817, PF0827, PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01
25181845;CO;PF0833, PF0850, PF0853, PF0854, PF0855, PF0870, PF0873, PF0875, PF0876, PF0880, PF0881, PF0882, PF0883, PF0886, PF0888, PF0889, PF0890, PF0891, PF0892, PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33
25181864;CO;PF0893, PF0895, PF0896, PF0902, PF0905, PF0907, PF0916, PF0931, PF0939, PF0948, PF0949, PF0952, PF0953, PF0954, PF0955, PF0956, PF0957, PF0958, PF0959, PF0960, PF0961, PF0962, PF0963, PF0977, PF0982, PF0983, PF0984, PF0985, PF0995, PF0996;MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI33,MI33,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI01,MI02
25181902;CO;PF1007;MI33
25182214;CO;PF0833, PF0850;MI01,MI01
25182310;CO;PF0720, PF0721, PF0722;MI01,MI01,MI01
25182312;CO;PF0722, PF0724, PF0728, PF0756;MI01,MI01,MI01,MI01
25182313;CO;PF0724, PF0728, PF0756, PF0757, PF0765;MI01,MI01,MI01,MI01,MI01
25182315;CO;PF0756, PF0757, PF0765, PF0766, PF0775, PF0776;MI01,MI01,MI01,MI01,MI01,MI01
