doco;dcto;nb_pf;nb_pf_ibstkt_m;sqalph;SDADDJ;SDTRDJ;SDNXTR;error_type
25173179;CO;2;2;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25173414;CO;3;3;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25173416;CO;4;4;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25173446;CO;5;5;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25173703;CO;6;6;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25175662;CO;7;7;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25175664;CO;8;8;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25176001;CO;9;9;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25176664;CO;10;10;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25179254;CO;11;11;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25179255;CO;12;12;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25179783;CO;13;13;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25179785;CO;14;14;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25179991;CO;15;15;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25180257;CO;16;16;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25180458;CO;17;17;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25180459;CO;18;18;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25180699;CO;19;19;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25181264;CO;20;20;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25181372;CO;21;21;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25181474;CO;22;22;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25181639;CO;23;23;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25181691;CO;24;24;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25181765;CO;25;25;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25181800;CO;26;26;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25181803;CO;27;27;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25181828;CO;28;28;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25181845;CO;29;29;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25181864;CO;30;30;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25181902;CO;1;1;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25182214;CO;2;2;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25182310;CO;3;3;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25182312;CO;4;4;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25182313;CO;5;5;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25182315;CO;6;6;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25182352;CO;7;7;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25182505;CO;8;8;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25182530;CO;9;9;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25182689;CO;10;10;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25182725;CO;11;11;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25183090;CO;12;12;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25183149;CO;13;13;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25183501;CO;14;14;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25183503;CO;15;15;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25183569;CO;16;16;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25183572;CO;17;17;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25183616;CO;18;18;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25183825;CO;19;19;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25185663;CO;20;20;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
25185884;CO;21;21;ARMES COM;0;125275;620;PROBLEME_DATE_CMD
25185887;CO;22;22;SOCIETE TAHA DISTRIBUTION DE SUD;0;125276;580;PROBLEME_DATE_CMD
25186213;CO;23;23;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125277;620;PROBLEME_DATE_CMD
25186497;CO;24;24;STE BECHIR ETTAIEB DE COMMERCE;0;125278;580;PROBLEME_DATE_CMD
25186498;CO;25;25;SUDMILK;0;125279;620;PROBLEME_DATE_CMD
25497271;CA;22;20;ARMES COM;;;;ITEM_IS_OBSOLETE
25498266;CA;7;6;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25498779;CA;2;1;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25498968;CA;7;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25498994;CA;3;2;SUDMILK;;;;ITEM_BRANCH_RECORDS
25499121;CA;5;3;ARMES COM;;;;ITEM_BRANCH_RECORDS
25499262;CA;1;1;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25499286;CA;3;2;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25499662;CA;5;4;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25499707;CA;7;6;SUDMILK;;;;ITEM_BRANCH_RECORDS
25503154;CA;5;4;ARMES COM;;;;ITEM_IS_OBSOLETE
25504252;CA;1;0;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25556484;CA;9;8;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25710001;CA;6;4;ARMES COM;;;;ITEM_IS_OBSOLETE
25710002;CA;4;3;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
25710003;CA;8;5;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25710004;CA;10;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
25710011;CA;6;5;SUDMILK;;;;ITEM_BRANCH_RECORDS
25710012;CA;4;2;ARMES COM;;;;ITEM_BRANCH_RECORDS
25710013;CA;8;5;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25710014;CA;5;3;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25710015;CA;3;2;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25820001;CA;12;10;ARMES COM;;;;ITEM_IS_OBSOLETE
25820002;CA;13;11;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25820003;CA;14;10;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25820004;CA;3;2;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25820005;CA;4;2;SUDMILK;;;;ITEM_IS_OBSOLETE
25820006;CA;5;4;ARMES COM;;;;ITEM_BRANCH_RECORDS
25820007;CA;6;2;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
25820008;CA;7;6;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25820009;CA;8;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
25820010;CA;9;8;SUDMILK;;;;ITEM_BRANCH_RECORDS
25820011;CA;10;6;ARMES COM;;;;ITEM_IS_OBSOLETE
25820012;CA;11;8;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25820013;CA;12;6;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25820014;CA;13;8;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25820015;CA;14;6;SUDMILK;;;;ITEM_IS_OBSOLETE
25820016;CA;3;2;ARMES COM;;;;ITEM_BRANCH_RECORDS
25820017;CA;4;2;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
25820018;CA;5;2;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25820019;CA;6;2;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
25820020;CA;7;6;SUDMILK;;;;ITEM_BRANCH_RECORDS
25820021;CA;8;2;ARMES COM;;;;ITEM_IS_OBSOLETE
25820022;CA;9;8;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25820023;CA;10;2;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25820024;CA;11;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25820025;CA;12;10;SUDMILK;;;;ITEM_IS_OBSOLETE
25820026;CA;13;12;ARMES COM;;;;ITEM_BRANCH_RECORDS
25820027;CA;14;10;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
25820028;CA;3;2;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25820029;CA;4;2;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
25820030;CA;5;4;SUDMILK;;;;ITEM_BRANCH_RECORDS
25820031;CA;6;2;ARMES COM;;;;ITEM_IS_OBSOLETE
25820032;CA;7;5;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_BRANCH_RECORDS
25820033;CA;8;6;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
25820034;CA;9;4;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_BRANCH_RECORDS
25820035;CA;10;6;SUDMILK;;;;ITEM_IS_OBSOLETE
25820036;CA;11;10;ARMES COM;;;;ITEM_BRANCH_RECORDS
25820037;CA;12;6;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
25820038;CA;13;10;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_BRANCH_RECORDS
25820039;CA;14;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
25820040;CA;3;2;SUDMILK;;;;ITEM_BRANCH_RECORDS
25930001;CS;12;12;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25930002;CS;13;13;SOCIETE LACTO DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930003;CS;14;14;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25930004;CS;15;15;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930005;CS;1;1;STE NOUR DISTRIBUTION CENTRALE;;;;INACTIVE_CUSTOMER
25930006;CS;2;2;SOCIETE OMNI COMMERCE ET DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930007;CS;3;3;STE LES FRERES MANSOUR DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930008;CS;4;4;SOCIETE ATLAS LAIT DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930009;CS;5;5;STE KARIM BEN SALAH COMMERCE;;;;INACTIVE_CUSTOMER
25930010;CS;6;6;SOCIETE MEDITERRANEE PRODUITS LAITIERS;;;;INACTIVE_CUSTOMER
25930011;CS;7;7;SOCIETE UNION DES GROSSISTES TUNIS;;;;INACTIVE_CUSTOMER
25930012;CS;8;8;STE SALAH HAMROUNI COMMERCE EN GROS;;;;INACTIVE_CUSTOMER
25930013;CS;9;9;STE MOHAMED TRABELSI DISTRIBUTION SUD;;;;INACTIVE_CUSTOMER
25930014;CS;10;10;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25930015;CS;11;11;SOCIETE LACTO DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930016;CS;12;12;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25930017;CS;13;13;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930018;CS;14;14;STE NOUR DISTRIBUTION CENTRALE;;;;INACTIVE_CUSTOMER
25930019;CS;15;15;SOCIETE OMNI COMMERCE ET DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930020;CS;1;1;STE LES FRERES MANSOUR DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930021;CS;2;2;SOCIETE ATLAS LAIT DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930022;CS;3;3;STE KARIM BEN SALAH COMMERCE;;;;INACTIVE_CUSTOMER
25930023;CS;4;4;SOCIETE MEDITERRANEE PRODUITS LAITIERS;;;;INACTIVE_CUSTOMER
25930024;CS;5;5;SOCIETE UNION DES GROSSISTES TUNIS;;;;INACTIVE_CUSTOMER
25930025;CS;6;6;STE SALAH HAMROUNI COMMERCE EN GROS;;;;INACTIVE_CUSTOMER
25930026;CS;7;7;STE MOHAMED TRABELSI DISTRIBUTION SUD;;;;INACTIVE_CUSTOMER
25930027;CS;8;8;MOHAMED AMINE MARAOUI SFAX 2;;;;INACTIVE_CUSTOMER
25930028;CS;9;9;SOCIETE LACTO DISTRIBUTION;;;;INACTIVE_CUSTOMER
25930029;CS;10;10;STE FRERES AYADI DISTRIBUTION NORD OUEST;;;;INACTIVE_CUSTOMER
25930030;CS;11;11;STE GENERAL DE DISTRIBUTION;;;;INACTIVE_CUSTOMER
25656234;SO;26;26;ARMES COM;0;125280;580;PROBLEME_DATE_CMD
25656235;SO;27;27;SOCIETE TAHA DISTRIBUTION DE SUD;0;125281;620;PROBLEME_DATE_CMD
25656706;SO;28;28;STE AL AKREM DE COMM ET DISTRI EN GROS;0;125282;580;PROBLEME_DATE_CMD
25656707;SO;29;29;STE BECHIR ETTAIEB DE COMMERCE;0;125283;620;PROBLEME_DATE_CMD
25658262;SO;30;30;SUDMILK;0;125284;580;PROBLEME_DATE_CMD
27000001;CA;26;8;ARMES COM;;;;ITEM_IS_OBSOLETE
27000002;CA;9;3;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000003;CA;10;8;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000004;CA;22;20;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000005;CA;11;6;SUDMILK;;;;ITEM_IS_OBSOLETE
27000006;CA;25;7;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000007;CA;21;1;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
27000008;CA;27;19;SOCIETE EL HOUDA DISTRIBUTION;;;;ITEM_IS_OBSOLETE
27000009;CA;9;8;ARMES COM;;;;ITEM_IS_OBSOLETE
27000010;CA;16;10;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000011;CA;24;1;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000012;CA;6;5;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000013;CA;4;1;SUDMILK;;;;ITEM_IS_OBSOLETE
27000014;CA;16;12;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000015;CA;9;3;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
27000016;CA;17;3;SOCIETE EL HOUDA DISTRIBUTION;;;;ITEM_IS_OBSOLETE
27000017;CA;28;13;ARMES COM;;;;ITEM_IS_OBSOLETE
27000018;CA;28;16;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000019;CA;30;4;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000020;CA;23;6;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000021;CA;9;4;SUDMILK;;;;ITEM_IS_OBSOLETE
27000022;CA;20;15;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000023;CA;20;9;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
27000024;CA;4;1;SOCIETE EL HOUDA DISTRIBUTION;;;;ITEM_IS_OBSOLETE
27000025;CA;19;13;ARMES COM;;;;ITEM_IS_OBSOLETE
27000026;CA;20;0;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000027;CA;5;2;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000028;CA;10;0;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000029;CA;14;1;SUDMILK;;;;ITEM_IS_OBSOLETE
27000030;CA;9;5;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000031;CA;17;7;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
27000032;CA;6;4;SOCIETE EL HOUDA DISTRIBUTION;;;;ITEM_IS_OBSOLETE
27000033;CA;4;1;ARMES COM;;;;ITEM_IS_OBSOLETE
27000034;CA;29;21;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000035;CA;29;25;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000036;CA;8;4;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000037;CA;16;0;SUDMILK;;;;ITEM_IS_OBSOLETE
27000038;CA;3;2;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000039;CA;5;1;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
27000040;CA;10;7;SOCIETE EL HOUDA DISTRIBUTION;;;;ITEM_IS_OBSOLETE
27000041;CA;26;1;ARMES COM;;;;ITEM_IS_OBSOLETE
27000042;CA;25;23;SOCIETE TAHA DISTRIBUTION DE SUD;;;;ITEM_IS_OBSOLETE
27000043;CA;24;6;STE AL AKREM DE COMM ET DISTRI EN GROS;;;;ITEM_IS_OBSOLETE
27000044;CA;30;16;STE BECHIR ETTAIEB DE COMMERCE;;;;ITEM_IS_OBSOLETE
27000045;CA;16;3;SUDMILK;;;;ITEM_IS_OBSOLETE
27000046;CA;21;13;STE HEDI JELASSI DISTRIBUTION NORD;;;;ITEM_IS_OBSOLETE
27000047;CA;22;8;SOCIETE IDEAL DISTRIBUTION SFAX;;;;ITEM_IS_OBSOLETE
