ref_article ;magazin;pf_name;status;pf_issue_type
PF1005;        MI40;BLENDY MANGUE PASSION 120 GR;M;OK
PF1006;        MI02;YOPRO YAB CITRON 300G;M;OK
PF1007;        MI33;JUS ANANAS COCONUT 1L;M;OK
PF1008;        MI01;MPACK*4 DANUP CITRON 640 GR;M;OK
PF1009;        MI04;CREME DESSERT PISTACHE 90 GR;O;BLOCKED_STATUS
PF1010;        MI22;SMOOTHIE FRUITS EXOTIQUES 250 ML;M;OK
PF1011;        MI40;DELICE PROTEINE COCO 150 GR;M;OK
PF1012;        MI10;YAOURT A BOIRE MANGUE 200 ML;M;OK
PF1013;        MI02;DANETTE NOISETTE 95 GR;M;OK
PF1014;        MI22;OIKOS FRAISE 150G;O;BLOCKED_STATUS
PF1015;        MI04;MAMZOUJ CARAMEL 70;M;OK
PF1016;        MI40;JUS POMME PF 20 CL;M;OK
PF1017;        MI02;DELICE LIGHT CITRON 110 GR;M;OK
PF1018;        MI10;YOPRO LAIT UHT VANILLE 280G;M;OK
PF1019;        MI22;FERME MULTIFRUITS 125G;M;OK
PF1020;        MI33;JUS RAISIN 1L;O;BLOCKED_STATUS
