doco	dcto	nb_pf	nb_pf_ibstkt_o	nb_pf_ibstkt_m	nb_pf_absent_in_mcu	sgev01_a07	sfev01_a06	sale_exists_f4211	sqalph	aicusts	has_any_sdnxtr_ne_999	SDADDJ	SDTRDJ	SDNXTR	error_type
25168494	CO	20	0	20	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25168596	CO	21	0	21	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25168607	CO	22	0	22	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25169026	CO	23	0	23	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25169027	CO	24	0	24	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25169667	CO	25	0	25	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25169736	CO	26	0	26	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25170361	CO	27	0	27	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25171024	CO	28	0	28	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25171511	CO	29	0	29	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25173147	CO	30	0	30	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25173177	CO	1	0	1	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25173179	CO	2	0	2	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25173414	CO	3	0	3	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25173416	CO	4	0	4	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25173446	CO	5	0	5	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25173703	CO	6	0	6	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25175662	CO	7	0	7	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25175664	CO	8	0	8	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25176001	CO	9	0	9	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25176664	CO	10	0	10	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25179254	CO	11	0	11	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25179255	CO	12	0	12	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25179783	CO	13	0	13	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25179785	CO	14	0	14	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25179991	CO	15	0	15	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25180257	CO	16	0	16	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25180458	CO	17	0	17	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25180459	CO	18	0	18	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25180699	CO	19	0	19	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25181264	CO	20	0	20	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25181372	CO	21	0	21	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25181474	CO	22	0	22	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25181639	CO	23	0	23	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25181691	CO	24	0	24	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25181765	CO	25	0	25	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25181800	CO	26	0	26	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25181803	CO	27	0	27	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25181828	CO	28	0	28	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25181845	CO	29	0	29	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25181864	CO	30	0	30	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25181902	CO	1	0	1	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25182214	CO	2	0	2	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25182310	CO	3	0	3	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25182312	CO	4	0	4	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25182313	CO	5	0	5	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25182315	CO	6	0	6	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25182352	CO	7	0	7	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25182505	CO	8	0	8	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25182530	CO	9	0	9	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25182689	CO	10	0	10	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25182725	CO	11	0	11	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25183090	CO	12	0	12	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25183149	CO	13	0	13	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25183501	CO	14	0	14	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25183503	CO	15	0	15	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25183569	CO	16	0	16	0	0	1	1	ARMES COM	0	1	0	125280	580	PROBLEME_DATE_CMD
25183572	CO	17	0	17	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125281	620	PROBLEME_DATE_CMD
25183616	CO	18	0	18	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125282	580	PROBLEME_DATE_CMD
25183825	CO	19	0	19	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125283	620	PROBLEME_DATE_CMD
25185663	CO	20	0	20	0	0	1	1	SUDMILK	0	1	0	125284	580	PROBLEME_DATE_CMD
25185884	CO	21	0	21	0	0	1	1	ARMES COM	0	1	0	125275	620	PROBLEME_DATE_CMD
25185887	CO	22	0	22	0	0	1	1	SOCIETE TAHA DISTRIBUTION DE SUD	0	1	0	125276	580	PROBLEME_DATE_CMD
25186213	CO	23	0	23	0	0	1	1	STE AL AKREM DE COMM ET DISTRI EN GROS	0	1	0	125277	620	PROBLEME_DATE_CMD
25186497	CO	24	0	24	0	0	1	1	STE BECHIR ETTAIEB DE COMMERCE	0	1	0	125278	580	PROBLEME_DATE_CMD
25186498	CO	25	0	25	0	0	1	1	SUDMILK	0	1	0	125279	620	PROBLEME_DATE_CMD
25497271	CA	22	2	20	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25498266	CA	7	0	6	1	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25498779	CA	2	0	1	1	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25498968	CA	7	0	6	1	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25498994	CA	3	0	2	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25499121	CA	5	0	3	2	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25499262	CA	1	0	1	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25499286	CA	3	0	2	1	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25499662	CA	5	0	4	1	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25499707	CA	7	0	6	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25503154	CA	5	1	4	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25504252	CA	1	0	0	1	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25556484	CA	9	1	8	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25710001	CA	6	2	4	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25710002	CA	4	1	3	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_IS_OBSOLETE
25710003	CA	8	3	5	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25710004	CA	10	4	6	0	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_IS_OBSOLETE
25710011	CA	6	0	5	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25710012	CA	4	0	2	2	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25710013	CA	8	0	5	3	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25710014	CA	5	0	3	2	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25710015	CA	3	0	2	1	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25820001	CA	12	2	10	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25820002	CA	13	0	11	2	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25820003	CA	14	4	10	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25820004	CA	3	0	2	1	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25820005	CA	4	2	2	0	1	1	0	SUDMILK	0					ITEM_IS_OBSOLETE
25820006	CA	5	0	4	1	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25820007	CA	6	4	2	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_IS_OBSOLETE
25820008	CA	7	0	6	1	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25820009	CA	8	2	6	0	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_IS_OBSOLETE
25820010	CA	9	0	8	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25820011	CA	10	4	6	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25820012	CA	11	0	8	3	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25820013	CA	12	6	6	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25820014	CA	13	0	8	5	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25820015	CA	14	8	6	0	1	1	0	SUDMILK	0					ITEM_IS_OBSOLETE
25820016	CA	3	0	2	1	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25820017	CA	4	2	2	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_IS_OBSOLETE
25820018	CA	5	0	2	3	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25820019	CA	6	4	2	0	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_IS_OBSOLETE
25820020	CA	7	0	6	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25820021	CA	8	6	2	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25820022	CA	9	0	8	1	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25820023	CA	10	8	2	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25820024	CA	11	0	6	5	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25820025	CA	12	2	10	0	1	1	0	SUDMILK	0					ITEM_IS_OBSOLETE
25820026	CA	13	0	12	1	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25820027	CA	14	4	10	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_IS_OBSOLETE
25820028	CA	3	0	2	1	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25820029	CA	4	2	2	0	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_IS_OBSOLETE
25820030	CA	5	0	4	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25820031	CA	6	4	2	0	1	1	0	ARMES COM	0					ITEM_IS_OBSOLETE
25820032	CA	7	0	5	2	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_BRANCH_RECORDS
25820033	CA	8	2	6	0	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_IS_OBSOLETE
25820034	CA	9	0	4	5	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_BRANCH_RECORDS
25820035	CA	10	4	6	0	1	1	0	SUDMILK	0					ITEM_IS_OBSOLETE
25820036	CA	11	0	10	1	1	1	0	ARMES COM	0					ITEM_BRANCH_RECORDS
25820037	CA	12	6	6	0	1	1	0	SOCIETE TAHA DISTRIBUTION DE SUD	0					ITEM_IS_OBSOLETE
25820038	CA	13	0	10	3	1	1	0	STE AL AKREM DE COMM ET DISTRI EN GROS	0					ITEM_BRANCH_RECORDS
25820039	CA	14	8	6	0	1	1	0	STE BECHIR ETTAIEB DE COMMERCE	0					ITEM_IS_OBSOLETE
25820040	CA	3	0	2	1	1	1	0	SUDMILK	0					ITEM_BRANCH_RECORDS
25930001	CS	12	0	12	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25930002	CS	13	0	13	0	0	1	0	SOCIETE LACTO DISTRIBUTION	1					INACTIVE_CUSTOMER
25930003	CS	14	0	14	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25930004	CS	15	0	15	0	0	1	0	STE GENERAL DE DISTRIBUTION	1					INACTIVE_CUSTOMER
25930005	CS	1	0	1	0	0	1	0	STE NOUR DISTRIBUTION CENTRALE	1					INACTIVE_CUSTOMER
25930006	CS	2	0	2	0	0	1	0	SOCIETE OMNI COMMERCE ET DISTRIBUTION	1					INACTIVE_CUSTOMER
25930007	CS	3	0	3	0	0	1	0	STE LES FRERES MANSOUR DISTRIBUTION	1					INACTIVE_CUSTOMER
25930008	CS	4	0	4	0	0	1	0	SOCIETE ATLAS LAIT DISTRIBUTION	1					INACTIVE_CUSTOMER
25930009	CS	5	0	5	0	0	1	0	STE KARIM BEN SALAH COMMERCE	1					INACTIVE_CUSTOMER
25930010	CS	6	0	6	0	0	1	0	SOCIETE MEDITERRANEE PRODUITS LAITIERS	1					INACTIVE_CUSTOMER
25930011	CS	7	0	7	0	0	1	0	SOCIETE UNION DES GROSSISTES TUNIS	1					INACTIVE_CUSTOMER
25930012	CS	8	0	8	0	0	1	0	STE SALAH HAMROUNI COMMERCE EN GROS	1					INACTIVE_CUSTOMER
25930013	CS	9	0	9	0	0	1	0	STE MOHAMED TRABELSI DISTRIBUTION SUD	1					INACTIVE_CUSTOMER
25930014	CS	10	0	10	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25930015	CS	11	0	11	0	0	1	0	SOCIETE LACTO DISTRIBUTION	1					INACTIVE_CUSTOMER
25930016	CS	12	0	12	0	0	1	0	STE FRERES AYADI DISTRIBUTION NORD OUEST	1					INACTIVE_CUSTOMER
25930017	CS	13	0	13	0	0	1	0	STE GENERAL DE DISTRIBUTION	1					INACTIVE_CUSTOMER
25930018	CS	14	0	14	0	0	1	0	STE NOUR DISTRIBUTION CENTRALE	1					INACTIVE_CUSTOMER
25930019	CS	15	0	15	0	0	1	0	SOCIETE OMNI COMMERCE ET DISTRIBUTION	1					INACTIVE_CUSTOMER
25930020	CS	1	0	1	0	0	1	0	STE LES FRERES MANSOUR DISTRIBUTION	1					INACTIVE_CUSTOMER
25930021	CS	2	0	2	0	0	1	0	SOCIETE ATLAS LAIT DISTRIBUTION	1					INACTIVE_CUSTOMER
25930022	CS	3	0	3	0	0	1	0	STE KARIM BEN SALAH COMMERCE	1					INACTIVE_CUSTOMER
25930023	CS	4	0	4	0	0	1	0	SOCIETE MEDITERRANEE PRODUITS LAITIERS	1					INACTIVE_CUSTOMER
25930024	CS	5	0	5	0	0	1	0	SOCIETE UNION DES GROSSISTES TUNIS	1					INACTIVE_CUSTOMER
25930025	CS	6	0	6	0	0	1	0	STE SALAH HAMROUNI COMMERCE EN GROS	1					INACTIVE_CUSTOMER
25930026	CS	7	0	7	0	0	1	0	STE MOHAMED TRABELSI DISTRIBUTION SUD	1					INACTIVE_CUSTOMER
25930027	CS	8	0	8	0	0	1	0	MOHAMED AMINE MARAOUI SFAX 2	1					INACTIVE_CUSTOMER
25930028	CS	9	0	9	0	0	1	0	SOCIETE LACTO DISTRIBUTION	1					INACTIVE_CUSTOMER
